,datetime,message,negativity,neutrality,positivity,compound,city,oblast
0,"03:27 PM, 01 Jan 2023",Rescuers from Bakhmut congratulated Ukrainians on New Year @antiitforce,0.0,1.0,0.0,0.0,Bakhmut,Donetsk
1,"03:27 PM, 01 Jan 2023",Not a bad reloading speed @antiitforce,0.0,0.584,0.416,0.431,n/a,n/a
2,"03:27 PM, 01 Jan 2023","In December, the Armed Forces of Ukraine eliminated 17,280 occupants - a record number since the beginning of the full-scale invasion. Also in December, Ukrainian warriors destroyed 192 enemy cruise missiles and 230 UAVs - almost record figures for all months. @antiitforce",0.152,0.818,0.03,-0.7506,n/a,n/a
3,"03:27 PM, 01 Jan 2023",Russian occupants hit the swimming pool in Kherson State University with MLRS. Fucking creatures. @antiitforce,0.0,1.0,0.0,0.0,Kherson,Kherson
4,"03:27 PM, 01 Jan 2023",Air Force fighter pilots are flying to greet the invaders @antiitforce,0.0,0.698,0.302,0.4404,n/a,n/a
5,"03:27 PM, 01 Jan 2023","🇩🇪🇺🇦 German engineering company KMW has started production of RCH 155 for Ukraine. In December, the German government officially confirmed that it is preparing 18 units of self-propelled artillery systems for Ukraine. @strichka_ua - stay up to date",0.0,1.0,0.0,0.0,n/a,n/a
6,"03:28 PM, 01 Jan 2023",More than 20 thousand servicemen of the Armed Forces of Ukraine have already been trained abroad. These figures were cited by Deputy Chief of the Main Operational Directorate of the General Staff Oleksiy Hromov. https://t.me/operativnoZSU,0.0,1.0,0.0,0.0,n/a,n/a
7,"03:32 PM, 01 Jan 2023","In the Zolfaghar-1401 exercise, Iran tested torpedo firing from its submarines in the surface state. Sanctions in the case of",0.112,0.888,0.0,-0.34,n/a,n/a
8,"03:34 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
9,"03:51 PM, 01 Jan 2023","As of today, Pasha Mercedes and his FSB UOC have been expelled from the main temples of the Lavra, - media Access is closed to the Assumption Cathedral (the main temple of the Kyiv-Pechersk Lavra) and the Refectory Church. ""Messenger of God"" is indignant and complains. A good start to the year, promising😏 UA Insider | Subscribe",0.121,0.798,0.081,-0.34,n/a,n/a
10,"03:51 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
11,"03:54 PM, 01 Jan 2023","""Mutilated but unconquered"". 2022 in the photos of Public Kharkiv. See the selection here",0.0,1.0,0.0,0.0,n/a,n/a
12,"03:58 PM, 01 Jan 2023","""Mutilated but unconquered"". 2022 in the photos of Public Kharkiv. See the selection here",0.0,1.0,0.0,0.0,n/a,n/a
13,"04:00 PM, 01 Jan 2023","The UK stopped all imports of Russian liquefied natural gas on January 1, - the British Foreign Office. https://t.me/operativnoZSU",0.093,0.784,0.123,0.1531,n/a,n/a
14,"04:00 PM, 01 Jan 2023","Attention! Warning of avalanche danger! On January 2, a significant avalanche hazard (level 3) is expected in the highlands of the eastern part of Transcarpathian and Ivano-Frankivsk regions. SES https://t.me/operativnoZSU",0.187,0.761,0.053,-0.6792,Ivano-Frankivsk,Ivano-Frankivsk
15,"04:00 PM, 01 Jan 2023","🇨🇦 🇺🇦 Embassy of Canada to Ukraine Let 2023 be a year of victory for Ukraine! Let 2023 be a year of new beginnings for Ukraine and Ukrainians! Let 2023 be the year of international law and order, justice and peace! Let 2023 be happy! https://t.me/open",0.0,0.777,0.223,0.9147,n/a,n/a
16,"04:02 PM, 01 Jan 2023","Krasnodar Territory of the Russian Federation. The ""Wagnerians'"" camp Gone to Putin's paradise, eagerly awaiting their half-Fuhrer there 🇺🇦Real War",0.141,0.614,0.245,0.4404,n/a,n/a
17,"04:02 PM, 01 Jan 2023","Ukrainian Armed Forces destroy almost 200 occupants near Bakhmut in a day On the last day of the last year, 23 combat engagements took place in the Bakhmut sector. As a result, the Armed Forces of Ukraine inflicted huge losses on the enemy, said the spokesman of the Eastern group of troops Serhiy Cherevaty. According to him, Russians lost over 170 people killed and about 200 wounded on December 31. 🇺🇦Real War",0.26,0.696,0.044,-0.9633,Bakhmut,Donetsk
18,"04:02 PM, 01 Jan 2023","💛 Rinat Akhmetov for Children is a tradition of kindness and personal involvement of Rinat Akhmetov in the lives of children. Over the years, its format has changed, but the goal and philosophy - to give warmth and care to children - have remained unchanged. 🎬 Watch the brightest moments of this year's children's holiday in our final video! The ""Rinat Akhmetov for Children"" campaign is more than a 20-year tradition of kindness, support, motivation and faith in the unlimited potential of children. The campaign changes children's lives for the better, gives them faith in miracles and hope for a bright future. Under the ""Rinat Akhmetov for Children"" program, more than 5 million children of Ukraine received support 🇺🇦 YouTube💛 The ""Rinat Akhmetov for Children"" campaign is a tradition of kindness and personal involvement of Rinat Akhmetov in the lives of children 💛 The ""Rinat Akhmetov for Children"" campaign is a tradition of kindness and personal involvement of Rinat Akhmetov in the lives of children. Over the years, its format has changed, but the goal and philosophy - to give warmth and care to children - have remained unchanged. Watch the brightest moments of this year's children's holiday in our final video! ""Rinat Akhmetov for Children"" is a more than 20-year tradition of kindness, support, motivation and belief in the limitless potential of children. The campaign changes children's lives for the better, gives them faith in miracles and hope for a bright future. Under the ""Rinat Akhmetov for Children"" program, more than 5 million children of Ukraine received support 🇺🇦 #RinatAkhmetovForChildren #RASOMSILNISHI #standwithukraine Subscribe to the channel - https://youtube.com/@Akhmetovfoundation Follow on Facebook - https://www.facebook.com/AkhmetovFDU Follow on Instagram - https://www.instagram.com/akhmetovfoundation/ Watch on TikTok - https://www.tiktok.com/@rinatakhmetovfoundation Read in Telegram - https://t.me/evacuationukraine Read more news on the website - https://akhmetovfoundation.org/",0.0,0.696,0.304,0.9988,n/a,n/a
19,"04:02 PM, 01 Jan 2023","In Ukraine, 14,870 air raid alarms sounded in 2022 Donetsk, Luhansk, Zaporizhzhia and Sumy regions ranked first in terms of the number of air raids, Central Ukraine ranked second, and Western Ukraine ranked third, the press service of the State Border Guard Service said.",0.046,0.925,0.029,-0.2023,Sumy,Sumy
20,"04:02 PM, 01 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
21,"04:02 PM, 01 Jan 2023","Over 20 thousand Ukrainian servicemen have already been trained abroad The training is conducted in Poland, Czech Republic, Slovakia, as well as by the US forces in Germany. ""During 2022, brigade headquarters, as well as battalion, company, artillery and air defense units were trained on the territory of partner states. In addition, the training of specialists for the use of foreign models of weapons and military equipment supplied in the framework of technical assistance continues. Over the year, almost 10 thousand specialists were trained in 17 countries,"" said Deputy Chief of the Main Operational Directorate of the General Staff of the Armed Forces of Ukraine Brigadier General Oleksii Hromov. He noted that the EU also provides professional training of ""narrow"" specialists - sappers, combat medics, advanced aviation and artillery gunners, divers, scouts, non-commissioned officers, CBRN specialists. Over 10 thousand people were trained during the year.",0.035,0.914,0.051,0.1027,n/a,n/a
22,"04:03 PM, 01 Jan 2023","As of today, the UK has completely stopped imports of Russian liquefied natural gas ""We are cutting off Putin from funding his illegal war and supporting countries around the world to reduce their dependence on Russian energy,"" the British Foreign Office said.",0.213,0.685,0.103,-0.6997,n/a,n/a
23,"04:03 PM, 01 Jan 2023",The only thing the occupants know how to do is to choose the angle of the photo and apply a bunch of filters,0.0,1.0,0.0,0.0,n/a,n/a
24,"04:06 PM, 01 Jan 2023","🚨 During 2022, there were about 14,870 air raids in Ukraine. Most often, sirens were heard by residents of the border regions of Donetsk, Luhansk, Sumy, and Zaporizhzhia. The second place is occupied by the central regions of the country, the third - by the western regions. 👉 Subscribe to ZN.UA",0.0,1.0,0.0,0.0,n/a,n/a
